Technology,Cost,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Li-ion battery,Low,40.8347834,38.6,30.06409949,27.94803233,25.83196516,23.715898,21.59983084,19.48376367,18.42403976,17.36431585,16.30459195,15.24486804,14.18514413,13.9076087,13.63007327,13.35253784,13.07500242,12.79746699,12.51993156,12.24239613,11.9648607,11.68732527,11.40978984,11.13225441,10.85471899,10.57718356,10.29964813,10.0221127,9.744577272,9.467041843,9.189506414,8.911970986,8.634435557
Electrolysis,Low,76.875,72.94222519,69.00945037,65.07667555,61.14390074,57.21112592,53.27835111,49.34557629,45.41280147,41.48002666,37.54725185,33.61447703,29.68170221,29.22248148,28.76326075,28.30404002,27.84481929,27.38559855,26.92637782,26.46715709,26.00793636,25.54871563,25.08949489,24.63027416,24.17105343,23.7118327,23.25261197,22.79339123,22.3341705,21.87494977,21.41572904,20.95650831,20.49728757
Coal,Low,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134
Natural Gas CC,Low,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776
Nuclear,Low,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122
Natural Gas CT,Low,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194
Solar PV,Low,18.76,16.08,15.69364437,14.92977805,14.16591173,13.40204541,12.63817909,11.87431277,11.11044645,10.34658013,9.582713809,8.818847489,8.054981169,7.955307701,7.855634233,7.755960766,7.656287298,7.55661383,7.456940362,7.357266895,7.257593427,7.157919959,7.058246492,6.958573024,6.858899556,6.759226089,6.659552621,6.559879153,6.460205685,6.360532218,6.26085875,6.161185282,6.061511815
Wind,Low,43.20538462,42.4699359,41.73448718,40.99903846,40.26358974,39.52814103,38.79269231,38.05724359,37.32179487,36.58634615,35.85089744,35.11544872,34.38,33.8643,33.3486,32.8329,32.3172,31.8015,31.2858,30.7701,30.2544,29.7387,29.223,28.7073,28.1916,27.6759,27.1602,26.6445,26.1288,25.6131,25.0974,24.5817,24.066
Natural Gas CC-CCS,Low,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609
Li-ion battery,Mid,40.8347834,38.6,36.3652166,34.11254138,31.85986616,29.60719093,27.35451571,25.10184049,24.16763706,23.23343364,22.29923021,21.36502678,20.43082336,20.17543806,19.92005277,19.66466748,19.40928219,19.1538969,18.8985116,18.64312631,18.38774102,18.13235573,17.87697044,17.62158514,17.36619985,17.11081456,16.85542927,16.60004398,16.34465868,16.08927339,15.8338881,15.57850281,15.32311752
Electrolysis,Mid,76.875,74.03125,71.1875,68.34375,65.5,62.65625,59.8125,56.96875,54.125,51.28125,48.4375,45.59375,42.75,42.43125,42.1125,41.79375,41.475,41.15625,40.8375,40.51875,40.2,39.88125,39.5625,39.24375,38.925,38.60625,38.2875,37.96875,37.65,37.33125,37.0125,36.69375,36.375
Coal,Mid,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134
Natural Gas CC,Mid,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776
Nuclear,Mid,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122
Natural Gas CT,Mid,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194
Solar PV,Mid,18.76,16.08,15.85184692,15.24618316,14.64051939,14.03485563,13.42919187,12.8235281,12.21786434,11.61220057,11.00653681,10.40087304,9.795209279,9.708197874,9.621186468,9.534175063,9.447163657,9.360152252,9.273140846,9.18612944,9.099118035,9.012106629,8.925095224,8.838083818,8.751072413,8.664061007,8.577049602,8.490038196,8.403026791,8.316015385,8.22900398,8.141992574,8.054981169
