GEN1,GEN2,GEN3,GEN4,GEN5,GEN6,GEN7,GEN8,GEN9,GEN10,GEN11,GEN12,GEN13,GEN14,GEN15,GEN16,GEN17,GEN18,GEN19,GEN20,GEN21,GEN22,GEN23,GEN24,GEN25,GEN26,GEN27,GEN28,GEN29,GEN30,GEN31,GEN32
1,1,1,1,1,1,1,1,1,1,1,0,0.176538323,0,0.176538323,0,0.176538323,1,1,0,0.176538323,1,0,0.176538323,1,0,0.176538323,0,0.176538323,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.15379633,0,0.15379633,0,0.15379633,1,1,0,0.15379633,1,0,0.15379633,1,0,0.15379633,0,0.15379633,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.141345808,0,0.141345808,0,0.141345808,1,1,0,0.141345808,1,0,0.141345808,1,0,0.141345808,0,0.141345808,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.115653113,0,0.115653113,0,0.115653113,1,1,0,0.115653113,1,0,0.115653113,1,0,0.115653113,0,0.115653113,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.107304786,0,0.107304786,0,0.107304786,1,1,0,0.107304786,1,0,0.107304786,1,0,0.107304786,0,0.107304786,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.100827636,0,0.100827636,0,0.100827636,1,1,0,0.100827636,1,0,0.100827636,1,0,0.100827636,0,0.100827636,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.096797409,0,0.096797409,0,0.096797409,1,1,0,0.096797409,1,0,0.096797409,1,0,0.096797409,0,0.096797409,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0.000770208,0.103490464,0.000770208,0.103490464,0.000770208,0.103490464,1,1,0.000770208,0.103490464,1,0.000770208,0.103490464,1,0.000770208,0.103490464,0.000770208,0.103490464,1,0.000770208,0.000770208
1,1,1,1,1,1,1,1,1,1,1,0.117691,0.109823678,0.117691,0.109823678,0.117691,0.109823678,1,1,0.117691,0.109823678,1,0.117691,0.109823678,1,0.117691,0.109823678,0.117691,0.109823678,1,0.117691,0.117691
1,1,1,1,1,1,1,1,1,1,1,0.247283,0.133501259,0.247283,0.133501259,0.247283,0.133501259,1,1,0.247283,0.133501259,1,0.247283,0.133501259,1,0.247283,0.133501259,0.247283,0.133501259,1,0.247283,0.247283
1,1,1,1,1,1,1,1,1,1,1,0.41028,0.135660309,0.41028,0.135660309,0.41028,0.135660309,1,1,0.41028,0.135660309,1,0.41028,0.135660309,1,0.41028,0.135660309,0.41028,0.135660309,1,0.41028,0.41028
1,1,1,1,1,1,1,1,1,1,1,0.364613,0.130118748,0.364613,0.130118748,0.364613,0.130118748,1,1,0.364613,0.130118748,1,0.364613,0.130118748,1,0.364613,0.130118748,0.364613,0.130118748,1,0.364613,0.364613
1,1,1,1,1,1,1,1,1,1,1,0.466396,0.139978409,0.466396,0.139978409,0.466396,0.139978409,1,1,0.466396,0.139978409,1,0.466396,0.139978409,1,0.466396,0.139978409,0.466396,0.139978409,1,0.466396,0.466396
1,1,1,1,1,1,1,1,1,1,1,0.166141,0.139618568,0.166141,0.139618568,0.166141,0.139618568,1,1,0.166141,0.139618568,1,0.166141,0.139618568,1,0.166141,0.139618568,0.166141,0.139618568,1,0.166141,0.166141
1,1,1,1,1,1,1,1,1,1,1,0.15799,0.129327096,0.15799,0.129327096,0.15799,0.129327096,1,1,0.15799,0.129327096,1,0.15799,0.129327096,1,0.15799,0.129327096,0.15799,0.129327096,1,0.15799,0.15799
1,1,1,1,1,1,1,1,1,1,1,0.00732672,0.124145376,0.00732672,0.124145376,0.00732672,0.124145376,1,1,0.00732672,0.124145376,1,0.00732672,0.124145376,1,0.00732672,0.124145376,0.00732672,0.124145376,1,0.00732672,0.00732672
1,1,1,1,1,1,1,1,1,1,1,0,0.139042821,0,0.139042821,0,0.139042821,1,1,0,0.139042821,1,0,0.139042821,1,0,0.139042821,0,0.139042821,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.162360561,0,0.162360561,0,0.162360561,1,1,0,0.162360561,1,0,0.162360561,1,0,0.162360561,0,0.162360561,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.172867938,0,0.172867938,0,0.172867938,1,1,0,0.172867938,1,0,0.172867938,1,0,0.172867938,0,0.172867938,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.176826196,0,0.176826196,0,0.176826196,1,1,0,0.176826196,1,0,0.176826196,1,0,0.176826196,0,0.176826196,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.196833393,0,0.196833393,0,0.196833393,1,1,0,0.196833393,1,0,0.196833393,1,0,0.196833393,0,0.196833393,1,0,0
