Column1,Column2,Column3,Column4,Column5
499.9760638127773,6.804089963638471e-5,5.06362225598074e-5,0.00014245220103951012,0.023681894521599245
199.99371109269816,0.0012189604027497167,0.001956425684736358,0.0031475793002464507,8.514521470072988e-6
1.6532873238201672e-6,7.660089185974633e-6,8.465153353674832e-6,1.2675350197990037e-5,1.3418802682378447e-6
199.99467499613922,0.0002981290631812373,0.001913843678934185,0.0031300601616502926,8.514521477221761e-6
322.7554416066114,0.0002763867914349682,0.00030755857795154696,2.4863124514019486e-5,0.0001516780779301856
352.2961271444996,0.02955962319028482,0.0008653475818242805,9.463567258191948e-6,647.6734263641113
4.5698365077809145e-5,9.153111765903588e-5,0.0003450109791863401,999.999610627552,1.6883927738800714e-5
200.0,0.0,0.0,0.0,0.0
3.5052493004228173e-6,5.188981713436185e-6,4.836672107967484e-6,9.070466870255154e-6,1.2887181293765441e-5
5.537083149188857e-6,5.3032790102872725e-6,1.503499958874492e-5,2.0730583273825668e-5,1.5808334584751391e-6
199.99320897271204,0.001012139643575367,0.0007974836051659227,1.753968077945319e-5,0.0050064369658003125
1.6567840283806001e-6,4.130569690677008e-6,5.894899077998327e-6,9.775162809017318e-6,3.471505227247498e-6
2.5547153520321594e-6,8.18360853946439e-6,6.4233764713846725e-6,5.550850492338463e-5,7.849808099982952e-5
1.7066345308458227e-6,4.485692382378108e-6,9.1034863041012e-6,1.1644389809421904e-5,3.46136638490153e-5
3.2332695919197236e-6,9.409073986989455e-6,5.8715168009525855e-6,2.2277121226098913e-5,2.8054279776650956e-5
1.8229963553612172e-6,4.795064246986704e-6,1.228048574366389e-5,1.4403788264980066e-5,4.690553155757193e-6
2.056214546386301e-6,9.874432376641037e-6,7.893302494829356e-6,1.3472984571137624e-5,3.946521652502831e-5
2.7737626777637434e-6,4.147006288925387e-6,5.167638975315897e-6,6.73791239965597e-6,5.416306365129674e-6
1.12939606020901e-6,1.0590527776238665e-6,4.510722793446037e-6,1.8628645319257994e-6,9.44343141064429e-6
1.7564578215598014e-6,4.699287643195814e-6,1.19006717161655e-5,1.2202848154368e-5,3.621828811575268e-5
1.9277481700989333e-6,7.749551548380181e-6,5.7515511308896435e-6,2.1606132360980638e-5,5.58975550688746e-5
1.9815795553882226e-6,3.4710222107255563e-6,3.2864523418542175e-6,6.740931232910385e-6,1.4171383749776387e-5
1.410753799796515e-6,3.5746308011010543e-6,3.8947987067527714e-6,8.872340976802412e-6,3.1537254269316233e-6
2.4423919448933243e-6,1.0439249923701524e-5,1.138081466383652e-6,1.1508486261408657e-5,2.4614751495873453e-5
1.1284953594906475e-6,1.0485619368721909e-6,4.418314058410725e-6,1.7236612878194232e-6,8.65966788668464e-6
1.7862414445508507e-6,4.781179505418032e-6,1.1668138592227278e-5,1.2305784100953755e-5,3.830083412079182e-5
1.960846135407645e-6,7.312072408848338e-6,5.414918553597236e-6,1.880418619407185e-5,5.6080456720678155e-5
1.599916809948125e-6,4.057693613134385e-6,6.120460219103932e-6,9.367287747056399e-6,3.2161407742715836e-6
2.017746312814732e-6,7.3797864939595605e-6,6.653126630900109e-6,3.105239418629849e-5,3.308259783737929e-5
9.71839096628324e-7,1.1195268405326916e-6,3.449469162782662e-6,6.60922727777305e-6,1.0484094303439928e-5
1.7766726315605992e-6,4.729768050068483e-6,1.1765090032707931e-5,1.3798918148697568e-5,5.320830665970636e-6
1.7717395164938235e-6,4.691659233334297e-6,1.2080667582114536e-5,1.3772542134405263e-5,6.62531764359561e-6
1.4168354345528444e-6,1.1343443472102284e-6,1.2345170499134627e-6,3.1731163452580474e-6,0.0010011398380823833
3.9360945372472686e-7,8.725191438353827e-7,1.0257469168468366e-5,2.0777643198878498e-5,2.4469542591206897e-6
9.7702613866755e-7,6.2541854162755794e-6,1.344967425455507e-6,3.0989249448328146e-6,0.0010049701966186847
2.456084696305851e-7,1.32158571781761e-6,4.308007140302048e-6,2.0399346432912765e-5,6.767589439897345e-6
9.769912765742702e-7,6.25318609733526e-6,1.344905112876985e-6,3.0997998848354573e-6,0.0010049665210328578
2.454856784168287e-7,1.3185607858444562e-6,4.289641211396098e-6,2.0419759285333445e-5,6.617827246722477e-6
9.614548691279883e-7,6.1183311124552545e-6,1.3313660479749504e-6,3.102208992839608e-6,0.0010055967664465194
2.4498005434058956e-7,1.3015700121797993e-6,4.110319602968378e-6,2.1926205307513716e-5,6.599603377021056e-6
2.0424913794391816e-6,1.4260332590727623e-6,1.2297003389550934e-6,1.372213655922606e-5,0.0010014731888772221
2.5995977105456673e-7,9.802193800236798e-7,5.140719218207042e-6,1.4128176904375276e-5,4.864975401536256e-6
3.6104034950299173e-7,1.049621007541511e-6,1.1914256165269593e-5,1.3745844521579823e-5,0.0008869329941242421
3.6581911921088167e-7,1.2838470952730332e-6,1.651581529435593e-5,2.697335940847848e-5,0.0008570683240402636
4.309907171213326e-7,5.826903165873129e-6,1.8958561792705022e-6,2.89548868445468e-6,0.0009764373214317145
3.6455139950028906e-7,1.0897553265899797e-6,1.4976116246701952e-5,1.7140843300470035e-5,0.0008895699616428481
199.999993531261,0.0002850297341077205,33.98015965157832,71.39957826526548,0.012858879063667032
0.0,0.00012011718156039174,7.796739353492395e-5,72.58183989225645,110.88861444186293
1.0740444007688162e-5,1.5045971754462785e-5,4.7016845616049234e-5,0.12628010342205925,0.0009797156157310709
1.1163351257048992e-5,1.9135116411148142e-5,6.602481771951171e-5,0.34322628013269535,0.00036542569513931504
1.1093745877002601e-5,1.917817064966735e-5,6.573910058357668e-5,0.08487429091389673,0.00020134012547319734
1.112442616521736e-5,1.9270126316083902e-5,6.630630767502933e-5,0.00019003393193306307,5.1615711653710326e-5
1.4303960570157216e-5,2.0321064568121694e-5,5.904470191137225e-5,0.8387054658718587,0.0033767847984369596
7.934340738957097e-6,1.208151772540461e-5,2.4087508808708113e-5,4.7517912730226725e-5,4.1060362430648715e-5
8.6294151743745e-6,1.1768657837927884e-5,1.630582130763297e-5,7.96921651959188e-5,8.009434301477081e-6
8.753691269894634e-6,1.1420983289054594e-5,1.6024218956174204e-5,8.539534678717263e-5,3.2925365442227504e-6
9.60688128449432e-6,1.3907620527451755e-5,3.0276389040326697e-5,5.449948803718862e-6,1.5684592507579076e-5
